date,all,SE,NW,CE,CW,SW,NO,NE,data_gap
2022-05-01,11286.2500,1875.5000,452.2500,2165.5000,769.7500,473.0000,1787.2500,1194.5000,0
2022-05-02,11023.0000,1597.2500,546.7500,2150.0000,764.7500,481.7500,1686.7500,1204.7500,0
2022-05-03,9883.5000,1160.0000,514.7500,1937.2500,748.7500,440.5000,1463.0000,1202.5000,0
2022-05-04,9847.2500,1179.5000,505.7500,1892.0000,743.2500,433.2500,1461.5000,1197.0000,0
2022-05-05,11230.5000,1928.0000,447.7500,2417.7500,768.0000,527.5000,1467.0000,945.5000,0
2022-05-06,11639.0000,1732.0000,539.5000,2677.2500,954.7500,519.0000,1363.5000,1150.5000,0
2022-05-07,10569.5000,1371.5000,579.5000,2233.0000,752.0000,435.7500,1301.5000,1396.7500,0
2022-05-08,11214.7500,1360.0000,450.7500,2602.5000,858.7500,495.7500,1464.7500,1390.0000,0
2022-05-09,12762.7500,2158.0000,437.2500,2697.7500,1009.0000,766.7500,1555.0000,1308.2500,0
2022-05-10,12800.7500,2080.5000,468.7500,2680.0000,1005.5000,713.2500,1709.2500,1367.5000,0
2022-05-11,11315.5000,2009.7500,374.7500,2146.2500,696.5000,580.5000,1618.5000,1269.2500,0
2022-05-12,11520.7500,1673.0000,415.5000,2577.2500,619.2500,584.2500,1677.2500,1203.7500,0
2022-05-13,11448.7500,1584.2500,655.2500,2655.7500,577.0000,725.0000,1291.2500,1173.2500,0
2022-05-14,10727.0000,1445.5000,628.7500,2348.2500,467.5000,709.5000,1261.7500,1150.0000,0
2022-05-15,10537.0000,1329.0000,569.2500,2216.7500,761.0000,739.5000,1256.7500,1040.0000,0
2022-05-16,11921.0000,1459.5000,697.2500,3262.5000,655.0000,775.7500,1257.2500,984.0000,0
2022-05-17,12896.2500,1458.0000,868.0000,3112.7500,1157.0000,779.7500,1494.5000,1048.5000,0
2022-05-18,14099.2500,1425.5000,956.5000,2993.2500,1338.2500,866.0000,1477.5000,1993.0000,0
2022-05-19,13092.7500,1408.5000,719.5000,2743.7500,1155.0000,804.0000,1376.2500,1835.0000,0
2022-05-20,15010.2500,1477.0000,1011.7500,3041.2500,1022.5000,983.7500,2288.7500,1811.2500,0
2022-05-21,15538.0000,1915.2500,1279.7500,3402.2500,709.7500,880.0000,2005.2500,1807.7500,0
2022-05-22,14478.7500,1623.7500,1281.5000,2836.2500,587.0000,887.7500,1983.2500,1855.5000,0
2022-05-23,14266.5000,1417.5000,1257.5000,3247.5000,588.5000,873.0000,1776.2500,1841.2500,0
2022-05-24,15567.7500,1855.7500,1260.0000,3607.7500,518.0000,820.5000,2192.5000,1754.2500,0
2022-05-25,14846.5000,1914.0000,1127.5000,3607.5000,361.5000,840.7500,1996.2500,1544.5000,0
2022-05-26,14940.0000,1940.0000,1073.7500,3523.0000,434.5000,1091.5000,1884.5000,1620.0000,0
2022-05-27,15726.5000,1771.5000,1035.0000,4150.5000,493.7500,1103.7500,2045.0000,1614.0000,0
2022-05-28,18824.7500,2423.5000,1029.2500,5585.5000,965.5000,994.7500,2060.2500,1727.7500,0
2022-05-29,20333.0000,2775.0000,1128.0000,6167.5000,1134.0000,876.2500,2071.7500,1806.0000,0
2022-05-30,22104.7500,2798.0000,1152.5000,6694.5000,1586.2500,823.0000,2012.0000,2365.7500,0
2022-05-31,22406.0000,2771.2500,1093.7500,6690.0000,1510.0000,655.7500,2283.2500,2600.7500,0
2022-06-01,23286.5000,2733.2500,1209.5000,7153.2500,1511.5000,636.2500,2657.2500,2417.7500,0
2022-06-02,23201.7500,2717.5000,1503.5000,6929.5000,1503.2500,671.0000,2334.7500,2407.7500,0
2022-06-03,21753.5000,2549.7500,1386.7500,5628.5000,1517.2500,696.7500,2003.0000,2968.7500,0
2022-06-04,23719.7500,2526.2500,1256.2500,6143.5000,1469.5000,855.7500,2990.0000,3195.2500,0
