date,all,SE,NW,CE,CW,SW,NO,NE,data_gap
2019-05-01,29964.2500,5006.5000,2961.0000,5033.2500,1038.5000,4295.0000,2045.0000,4609.2500,0
2019-05-02,28892.2500,5086.0000,3571.5000,4501.5000,896.7500,3303.2500,2044.5000,4463.0000,0
2019-05-03,28344.2500,3117.5000,4424.2500,4540.5000,1281.2500,2611.2500,2027.7500,5483.7500,0
2019-05-04,29154.7500,2733.0000,4683.0000,5065.5000,802.0000,2718.5000,1777.0000,6528.2500,0
2019-05-05,31338.2500,3517.7500,5635.7500,4805.2500,510.5000,3250.5000,2048.5000,6619.0000,0
2019-05-06,29923.7500,4237.2500,5352.5000,4271.0000,457.7500,3606.0000,1815.2500,5171.2500,0
2019-05-07,31798.7500,4296.2500,5261.2500,4049.7500,960.2500,3447.7500,1993.0000,6573.0000,0
2019-05-08,28995.7500,3265.0000,3625.0000,5082.7500,792.7500,3265.5000,1952.5000,5828.0000,0
2019-05-09,29632.2500,3659.2500,3167.5000,6616.7500,624.7500,2738.7500,1974.0000,5312.0000,0
2019-05-10,30628.0000,4143.7500,3728.5000,6430.7500,729.0000,2811.7500,2017.0000,5045.2500,0
2019-05-11,27049.5000,3406.2500,3895.7500,4865.5000,716.7500,2639.0000,1569.7500,4418.5000,0
2019-05-12,26468.7500,2590.2500,3271.2500,4672.2500,789.2500,3588.5000,1258.5000,4934.7500,0
2019-05-13,29598.2500,3484.2500,3511.0000,5656.0000,771.7500,4463.7500,1261.2500,4929.0000,0
2019-05-14,31813.0000,3675.2500,6004.5000,5316.0000,751.0000,3883.5000,1261.2500,5242.2500,0
2019-05-15,33428.2500,3578.0000,6933.5000,4956.0000,832.5000,4145.0000,1201.2500,6147.7500,0
2019-05-16,35123.0000,3763.0000,6333.2500,5757.7500,965.5000,4259.2500,2060.0000,6236.5000,0
2019-05-17,32640.0000,3918.5000,4144.7500,6368.7500,791.5000,4306.2500,1973.2500,5310.2500,0
2019-05-18,32090.0000,4046.5000,4485.2500,5817.7500,750.2500,4140.5000,1611.2500,5458.0000,0
2019-05-19,32191.2500,3905.0000,4548.2500,5397.0000,711.0000,3784.2500,1600.5000,6406.7500,0
2019-05-20,32440.2500,3720.7500,4271.0000,6546.0000,557.2500,3445.0000,1527.5000,6502.7500,0
2019-05-21,33435.0000,4277.2500,4129.5000,7179.5000,584.5000,3949.2500,1587.5000,5769.5000,0
2019-05-22,35620.7500,4535.5000,5690.2500,6543.5000,553.7500,4096.2500,1598.0000,6532.2500,0
2019-05-23,38294.5000,4347.0000,5682.5000,6097.5000,478.5000,5166.7500,1802.0000,8554.7500,0
2019-05-24,42509.2500,4090.2500,4831.5000,8021.5000,705.2500,7972.5000,2038.2500,8516.2500,0
2019-05-25,47689.5000,6107.0000,6287.7500,9969.0000,830.0000,7024.2500,2284.0000,8228.5000,0
2019-05-26,50267.5000,5534.2500,8474.0000,9176.0000,1064.2500,6878.0000,2138.2500,10112.5000,0
2019-05-27,48548.5000,5219.2500,7098.5000,8627.7500,1389.2500,6503.5000,1846.2500,10976.5000,0
2019-05-28,46789.2500,5172.7500,5862.2500,9537.2500,1319.2500,6217.5000,2031.7500,9634.7500,0
2019-05-29,49303.5000,6735.2500,6454.7500,10788.5000,1334.0000,6444.5000,2288.7500,8112.2500,0
2019-05-30,52479.7500,6516.7500,7667.0000,9993.2500,1533.5000,5793.7500,2153.2500,11436.2500,0
2019-05-31,54713.0000,9255.5000,7178.7500,9448.2500,1431.0000,6336.5000,2212.0000,11668.2500,0
2019-06-01,49499.7500,7296.2500,5737.5000,8259.0000,975.5000,6398.2500,2751.7500,10583.5000,0
2019-06-02,47075.2500,5709.5000,5823.7500,8499.0000,868.5000,5791.7500,2550.0000,10402.2500,0
2019-06-03,47721.7500,5792.2500,6200.2500,8914.0000,1133.5000,5288.7500,2319.2500,10321.2500,0
2019-06-04,51008.5000,5289.7500,7175.2500,9205.2500,1164.5000,5303.0000,2608.5000,12443.7500,0
2019-06-05,53348.5000,6926.7500,5945.7500,10754.7500,1293.5000,5097.2500,3309.0000,11900.2500,0
2019-06-06,54358.7500,6945.5000,6522.2500,10471.0000,1570.0000,5604.2500,3231.7500,12017.2500,0
2019-06-07,58791.7500,6530.5000,8066.2500,10632.0000,1695.7500,5672.5000,4335.0000,13535.0000,0
2019-06-08,65778.5000,6367.7500,9605.2500,11428.0000,1759.2500,5766.0000,3780.5000,18378.2500,0
2019-06-09,72382.0000,8682.0000,9877.2500,13717.7500,2103.2500,6956.0000,3957.0000,17818.5000,0
2019-06-10,110467.5000,8793.7500,13950.0000,14358.0000,2520.2500,8324.7500,4177.2500,48861.5000,0
2019-06-11,95808.7500,9256.2500,16556.0000,13781.2500,3544.0000,10301.2500,4245.5000,28611.2500,0
2019-06-12,110314.5000,11657.5000,18719.5000,18094.0000,6199.0000,16182.5000,4137.0000,25658.5000,0
2019-06-13,126109.0000,11890.7500,17195.0000,22481.2500,15602.2500,17007.0000,4304.2500,25446.7500,0
2019-06-14,128120.2500,12019.2500,17451.7500,24979.7500,17275.7500,17028.5000,4183.0000,22927.2500,0
2019-06-15,129930.2500,11609.5000,16988.0000,24915.7500,17598.2500,16095.2500,3733.2500,26509.2500,0
2019-06-16,128966.7500,11738.0000,15468.2500,24631.2500,17651.2500,14232.2500,4801.5000,27827.0000,0
2019-06-17,135448.5000,13895.2500,16181.7500,25319.5000,19024.7500,15658.2500,4786.7500,27662.7500,0
2019-06-18,136133.2500,12860.7500,16625.0000,27208.5000,19006.2500,15323.0000,4455.7500,27486.2500,0
2019-06-19,171409.0000,11728.7500,19959.7500,24548.5000,20461.5000,15304.2500,17624.5000,48454.0000,0
2019-06-20,145864.2500,12573.0000,19521.5000,29110.0000,19227.2500,13409.0000,6435.0000,32297.5000,0
2019-06-21,142176.5000,14616.2500,19511.5000,30699.7500,14757.7500,12828.2500,5067.0000,31312.7500,0
2019-06-22,134020.0000,13949.5000,19491.0000,27497.2500,13803.0000,11054.0000,4539.5000,30412.2500,0
2019-06-23,134948.0000,14769.7500,16119.5000,27783.2500,14595.7500,10952.7500,6640.2500,30631.2500,0
2019-06-24,129651.5000,15632.7500,13280.5000,27501.7500,14097.7500,7716.5000,6699.5000,31417.0000,0
2019-06-25,128898.5000,15720.0000,13332.2500,27646.0000,14323.5000,7311.2500,5603.7500,31929.7500,0
2019-06-26,135307.2500,16532.2500,16810.7500,27869.7500,14650.5000,6115.5000,5920.5000,34419.0000,0
2019-06-27,140982.2500,16405.2500,16928.0000,27713.2500,15088.7500,5724.7500,10808.2500,35154.5000,0
2019-06-28,140683.5000,16555.5000,16434.5000,28381.7500,15341.0000,8960.7500,6628.0000,34803.7500,0
2019-06-29,153882.0000,17029.5000,14277.5000,29500.2500,23804.5000,14597.2500,7469.5000,33610.7500,0
2019-06-30,153780.7500,17009.5000,17398.5000,29752.2500,25492.5000,18482.7500,6468.2500,25451.0000,0
2019-07-01,150117.5000,15399.5000,16955.5000,29929.5000,25616.5000,19896.0000,6367.0000,22292.7500,0
2019-07-02,157796.7500,16451.2500,17074.0000,35379.5000,27524.5000,20292.2500,6366.2500,20914.0000,0
2019-07-03,157053.2500,16743.0000,18766.5000,32872.5000,27526.2500,20852.7500,6138.2500,20478.0000,0
2019-07-04,161075.5000,16801.7500,20014.0000,30715.0000,27065.2500,19584.2500,6495.2500,26499.7500,0
2019-07-05,165632.2500,16042.7500,19936.2500,32540.2500,27348.2500,20291.0000,6847.7500,28630.0000,0
2019-07-06,172559.7500,17912.5000,20442.0000,34301.5000,25760.2500,20514.0000,7932.2500,31724.7500,0
2019-07-07,189908.7500,17907.0000,21543.0000,36430.2500,27941.5000,22486.5000,8110.2500,41398.2500,0
2019-07-08,358427.7500,17968.0000,72522.0000,40059.2500,31106.5000,22861.7500,23623.5000,136110.5000,0
2019-07-09,233991.0000,17994.5000,23202.0000,43491.7500,30438.7500,22934.7500,26454.7500,55165.0000,0
2019-07-10,220383.2500,18244.0000,21776.0000,42875.7500,29469.2500,22062.0000,17606.5000,54056.2500,0
2019-07-11,230614.0000,18288.2500,23023.7500,42566.0000,28233.0000,21630.5000,21742.5000,60792.2500,0
2019-07-12,231588.5000,18976.5000,22620.2500,39951.7500,28961.5000,22732.2500,24687.2500,59285.7500,0
2019-07-13,218328.5000,22021.7500,21561.0000,45150.2500,31650.2500,23441.7500,13939.0000,46147.7500,0
2019-07-14,214354.2500,19765.2500,24237.2500,45195.0000,36065.5000,23259.5000,10816.7500,40609.0000,0
2019-07-15,213512.5000,19458.2500,22422.2500,44432.5000,33332.2500,23657.7500,10852.0000,44951.0000,0
2019-07-16,217225.5000,19355.2500,22437.2500,42485.2500,32514.7500,23938.7500,13822.5000,48239.5000,0
2019-07-17,213174.7500,18811.5000,22235.0000,41954.7500,30600.2500,24759.5000,13374.0000,47002.2500,0
2019-07-18,208670.2500,20094.7500,22406.2500,41435.5000,31083.0000,24718.2500,8987.5000,45617.0000,0
2019-07-19,209863.0000,19510.2500,22475.0000,43005.0000,31182.0000,25010.7500,8300.0000,46048.5000,0
2019-07-20,217681.5000,20454.0000,25298.2500,43410.0000,31783.5000,24972.2500,9424.7500,47913.0000,0
2019-07-21,220472.7500,22438.7500,23924.2500,45451.0000,31147.7500,25060.2500,10848.5000,47160.0000,0
2019-07-22,223588.7500,22047.5000,23106.2500,46073.2500,31112.2500,24902.0000,10093.5000,51861.2500,0
2019-07-23,212655.5000,21373.0000,23973.2500,43695.0000,31143.2500,25364.7500,8897.7500,43881.2500,0
2019-07-24,228587.7500,19358.2500,23771.0000,43271.0000,33231.7500,26124.7500,19701.7500,48784.0000,0
2019-07-25,226185.7500,19717.7500,23481.2500,43881.7500,31707.7500,26716.7500,17752.7500,48574.5000,0
2019-07-26,223495.0000,19715.7500,21731.2500,44356.2500,32106.5000,26884.5000,17116.0000,47361.7500,0
2019-07-27,216542.2500,19730.7500,22420.2500,42042.0000,32017.0000,27200.0000,12418.2500,46414.5000,0
2019-07-28,215910.5000,19698.5000,22704.2500,41664.7500,31150.0000,26642.5000,12400.0000,47363.5000,0
2019-07-29,221361.0000,19702.7500,23900.0000,46182.7500,32399.0000,27905.5000,10829.5000,46139.5000,0
2019-07-30,229442.2500,21232.0000,24176.2500,50232.5000,33551.0000,30228.7500,11138.0000,44499.5000,0
2019-07-31,245977.5000,22112.7500,28504.7500,51892.7500,34424.5000,32707.0000,11937.0000,50062.2500,0
2019-08-01,268718.5000,21678.0000,27296.5000,54147.7500,36334.5000,32576.5000,27479.0000,54916.7500,0
2019-08-02,258552.5000,23160.7500,25347.2500,55867.5000,38219.0000,30555.7500,19079.5000,52015.7500,0
2019-08-03,246743.7500,22722.0000,26284.5000,53148.7500,37383.2500,30158.5000,14146.7500,48413.7500,0
2019-08-04,242230.7500,22478.7500,25279.5000,49183.7500,35929.0000,28706.2500,14484.2500,51693.0000,0
2019-08-05,254579.0000,21502.0000,23604.7500,53060.7500,35340.5000,31373.0000,23334.2500,51932.7500,0
2019-08-06,239999.0000,22173.7500,22828.2500,50864.7500,32801.0000,27698.5000,18545.7500,50706.0000,0
2019-08-07,233728.7500,22640.5000,23029.5000,49179.2500,32705.0000,28056.2500,13278.2500,50454.0000,0
2019-08-08,237208.5000,22244.5000,23910.0000,48772.2500,34227.0000,29261.7500,12349.2500,52052.5000,0
2019-08-09,235888.7500,25640.7500,22562.0000,48787.5000,33247.0000,27709.2500,13418.2500,50163.5000,0
2019-08-10,230116.0000,24347.7500,20629.5000,48700.5000,31094.0000,27096.5000,13459.7500,50486.5000,0
2019-08-11,221284.0000,22094.0000,23864.5000,46490.5000,30920.7500,27690.0000,13601.2500,42325.2500,0
2019-08-12,233518.7500,21017.5000,23425.0000,45889.2500,35415.7500,28239.7500,17448.7500,47619.2500,0
2019-08-13,228706.5000,20645.5000,22215.7500,46824.7500,33305.0000,28456.0000,13490.0000,49637.2500,0
2019-08-14,223187.2500,21303.2500,22081.2500,45829.7500,32828.7500,28193.7500,12747.2500,46183.0000,0
2019-08-15,222292.5000,21180.0000,23533.5000,45796.7500,33194.5000,28406.7500,11839.2500,44215.7500,0
2019-08-16,244937.0000,21310.5000,23588.7500,46325.5000,33733.5000,28624.5000,23217.7500,53852.2500,0
2019-08-17,230871.5000,22683.7500,21327.7500,46848.0000,33797.5000,27682.0000,16526.7500,47748.0000,0
2019-08-18,231287.0000,23292.2500,20924.2500,48112.7500,33144.7500,28345.2500,16175.2500,47040.7500,0
2019-08-19,220329.5000,22417.0000,22395.2500,45655.0000,32985.5000,27915.2500,14871.2500,39793.5000,0
2019-08-20,214016.5000,22233.0000,22709.7500,36094.2500,26523.2500,27744.2500,17379.5000,47211.2500,0
2019-08-21,206463.2500,22275.7500,21983.5000,37207.2500,24443.7500,26232.7500,14155.2500,46193.5000,0
2019-08-22,198580.0000,21977.5000,22496.0000,36855.5000,24236.5000,22445.2500,14001.2500,42650.5000,0
2019-08-23,202812.7500,21687.0000,18641.5000,37067.0000,16824.0000,22862.5000,35790.7500,36013.7500,0
2019-08-24,190699.5000,21628.2500,14563.5000,35280.7500,16590.5000,24144.0000,34617.0000,30111.0000,0
