date,all,SE,NW,CE,CW,SW,NO,NE,data_gap
2020-05-01,0.7780,0.7776,0.7776,0.7813,0.7871,0.7866,0.7524,0.7812,0
2020-05-02,0.7790,0.7763,0.7705,0.7788,0.7947,0.7884,0.7697,0.7786,0
2020-05-03,0.7782,0.7772,0.7720,0.7699,0.7956,0.7928,0.7699,0.7788,0
2020-05-04,0.7803,0.7815,0.7742,0.7798,0.7843,0.7926,0.7776,0.7789,0
2020-05-05,0.7853,0.7849,0.7878,0.7766,0.7890,0.7972,0.7856,0.7890,0
2020-05-06,0.7868,0.7882,0.7896,0.7812,0.7937,0.7969,0.7838,0.7840,0
2020-05-07,0.7840,0.7761,0.7944,0.7782,0.7908,0.7968,0.7790,0.7796,0
2020-05-08,0.7840,0.7694,0.8009,0.7787,0.8006,0.7968,0.7703,0.7728,0
2020-05-09,0.7867,0.7809,0.8009,0.7855,0.7987,0.7967,0.7784,0.7690,0
2020-05-10,0.7868,0.7826,0.7970,0.7864,0.8039,0.7966,0.7845,0.7612,0
2020-05-11,0.7855,0.7785,0.7976,0.7839,0.7990,0.7988,0.7835,0.7614,0
2020-05-12,0.7817,0.7758,0.7962,0.7867,0.8003,0.7921,0.7586,0.7557,0
2020-05-13,0.7842,0.7773,0.7915,0.7865,0.7967,0.7991,0.7694,0.7666,0
2020-05-14,0.7835,0.7799,0.7904,0.7865,0.8017,0.8005,0.7587,0.7615,0
2020-05-15,0.7788,0.7722,0.7880,0.7900,0.8009,0.8003,0.7415,0.7414,0
2020-05-16,0.7788,0.7700,0.7789,0.7925,0.8019,0.7992,0.7452,0.7468,0
2020-05-17,0.7792,0.7778,0.7836,0.7939,0.7982,0.7988,0.7504,0.7364,0
2020-05-18,0.7709,0.7752,0.7712,0.7874,0.7945,0.7936,0.7536,0.7070,0
2020-05-19,0.7726,0.7691,0.7845,0.7853,0.7954,0.7863,0.7391,0.7334,0
2020-05-20,0.7690,0.7617,0.7762,0.7830,0.7921,0.7847,0.7291,0.7368,0
2020-05-21,0.7717,0.7622,0.7709,0.7829,0.7928,0.7823,0.7488,0.7510,0
2020-05-22,0.7721,0.7727,0.7736,0.7804,0.7892,0.7831,0.7508,0.7485,0
2020-05-23,0.7718,0.7721,0.7806,0.7815,0.7821,0.7874,0.7592,0.7342,0
2020-05-24,0.7692,0.7644,0.7790,0.7824,0.7755,0.7799,0.7454,0.7472,0
2020-05-25,0.7654,0.7674,0.7631,0.7781,0.7717,0.7766,0.7550,0.7409,0
2020-05-26,0.7661,0.7819,0.7638,0.7836,0.7714,0.7616,0.7562,0.7422,0
2020-05-27,0.7603,0.7485,0.7739,0.7773,0.7584,0.7611,0.7445,0.7477,0
2020-05-28,0.7709,0.7573,0.7837,0.7777,0.7663,0.7852,0.7473,0.7716,0
2020-05-29,0.7824,0.7623,0.7941,0.7903,0.7921,0.7913,0.7600,0.7796,0
2020-05-30,0.7807,0.7636,0.7933,0.7912,0.7900,0.7909,0.7599,0.7672,0
2020-05-31,0.7817,0.7817,0.7956,0.7941,0.7879,0.7898,0.7478,0.7647,0
2020-06-01,0.7820,0.7840,0.7912,0.7901,0.7860,0.7907,0.7660,0.7648,0
2020-06-02,0.7752,0.7716,0.7900,0.7729,0.7813,0.7898,0.7618,0.7645,0
2020-06-03,0.7781,0.7776,0.7902,0.7822,0.7856,0.7912,0.7537,0.7649,0
2020-06-04,0.7811,0.7751,0.7983,0.7841,0.7873,0.8070,0.7430,0.7644,0
2020-06-05,0.7839,0.7777,0.7985,0.7925,0.7964,0.8016,0.7437,0.7650,0
2020-06-06,0.7848,0.7809,0.7996,0.7979,0.7967,0.7967,0.7439,0.7639,0
2020-06-07,0.7849,0.7809,0.7998,0.7970,0.7977,0.7979,0.7458,0.7626,0
2020-06-08,0.7818,0.7619,0.7995,0.7963,0.7947,0.7946,0.7442,0.7644,0
2020-06-09,0.7821,0.7723,0.7990,0.7926,0.7945,0.7943,0.7456,0.7652,0
2020-06-10,0.7767,0.7722,0.7981,0.7858,0.7892,0.7774,0.7460,0.7627,0
2020-06-11,0.7750,0.7687,0.7978,0.7841,0.7823,0.7780,0.7473,0.7628,0
2020-06-12,0.7777,0.7711,0.8045,0.7828,0.7834,0.7858,0.7395,0.7727,0
2020-06-13,0.7790,0.7745,0.7926,0.7842,0.7901,0.7937,0.7433,0.7708,0
2020-06-14,0.7814,0.7766,0.7926,0.7906,0.7944,0.7897,0.7512,0.7715,0
2020-06-15,0.7828,0.7770,0.7951,0.7925,0.7883,0.7885,0.7664,0.7726,0
2020-06-16,0.7807,0.7634,0.7969,0.7924,0.7863,0.7885,0.7602,0.7729,0
2020-06-17,0.7791,0.7760,0.7825,0.7944,0.7819,0.7888,0.7607,0.7653,0
2020-06-18,0.7732,0.7730,0.7880,0.7849,0.7785,0.7751,0.7622,0.7535,0
2020-06-19,0.7729,0.7726,0.7873,0.7801,0.7758,0.7782,0.7630,0.7593,0
2020-06-20,0.7721,0.7733,0.7890,0.7743,0.7699,0.7767,0.7642,0.7702,0
2020-06-21,0.7644,0.7682,0.7817,0.7703,0.7660,0.7721,0.7643,0.7404,0
2020-06-22,0.7626,0.7733,0.7768,0.7744,0.7627,0.7674,0.7486,0.7404,0
2020-06-23,0.7591,0.7734,0.7765,0.7741,0.7610,0.7679,0.7390,0.7221,0
2020-06-24,0.7588,0.7737,0.7794,0.7749,0.7560,0.7656,0.7385,0.7241,0
2020-06-25,0.7579,0.7778,0.7804,0.7746,0.7517,0.7609,0.7435,0.7203,0
2020-06-26,0.7637,0.7767,0.7850,0.7735,0.7512,0.7733,0.7445,0.7484,0
2020-06-27,0.7631,0.7764,0.7875,0.7715,0.7463,0.7704,0.7459,0.7527,0
2020-06-28,0.7618,0.7763,0.7853,0.7674,0.7472,0.7641,0.7502,0.7563,0
2020-06-29,0.7581,0.7767,0.7857,0.7607,0.7395,0.7634,0.7501,0.7493,0
2020-06-30,0.7554,0.7603,0.7802,0.7563,0.7385,0.7656,0.7503,0.7537,0
2020-07-01,0.7474,0.7462,0.7587,0.7524,0.7396,0.7652,0.7484,0.7334,0
2020-07-02,0.7482,0.7550,0.7579,0.7511,0.7403,0.7640,0.7584,0.7290,0
