date,all,SE,NW,CE,CW,SW,NO,NE,data_gap
2017-05-01,10417.5000,1393.5000,1171.2500,1646.5000,1077.5000,754.2500,1410.0000,865.7500,0
2017-05-02,11699.5000,1384.2500,1336.7500,2132.2500,445.0000,1681.2500,1428.5000,1000.0000,0
2017-05-03,13340.5000,1508.0000,1387.0000,2502.7500,1641.7500,1636.0000,1438.0000,755.7500,0
2017-05-04,13904.7500,1970.5000,1513.2500,3132.0000,637.5000,1031.5000,1439.7500,1567.7500,0
2017-05-05,14404.2500,1247.7500,2183.7500,3577.5000,466.5000,1240.7500,1366.7500,1639.7500,0
2017-05-06,18776.5000,2538.0000,2074.2500,4758.5000,1035.0000,1301.2500,1736.7500,1948.2500,0
2017-05-07,21001.0000,3292.7500,1992.5000,6225.0000,614.0000,1287.0000,1989.5000,1942.5000,0
2017-05-08,17585.7500,1991.5000,1976.5000,5453.7500,613.5000,1201.7500,1183.5000,1773.5000,0
2017-05-09,18474.0000,2740.0000,1303.5000,5519.5000,509.0000,620.5000,2389.2500,2086.2500,0
2017-05-10,19023.0000,2304.7500,1080.2500,3053.2500,425.2500,765.0000,2590.7500,5374.7500,0
2017-05-11,15341.2500,1833.2500,1599.2500,2708.2500,409.5000,671.5000,2068.5000,2756.5000,0
2017-05-12,14989.7500,1763.5000,1564.7500,2491.2500,393.0000,571.0000,1954.7500,2932.2500,0
2017-05-13,12855.2500,1672.7500,975.5000,2015.2500,533.0000,414.2500,1858.5000,2249.7500,0
2017-05-14,13405.7500,1680.0000,975.0000,2682.7500,386.5000,432.2500,2250.7500,1792.5000,0
2017-05-15,14686.5000,1770.5000,1701.5000,2792.7500,405.2500,633.5000,2280.7500,1735.7500,0
2017-05-16,14693.0000,1662.2500,1803.5000,2532.5000,363.7500,630.5000,1603.0000,2721.5000,0
2017-05-17,15930.5000,2169.2500,1804.2500,2669.0000,372.2500,623.2500,1673.0000,2983.7500,0
2017-05-18,16018.2500,1825.0000,1877.2500,2872.2500,456.0000,621.2500,1790.2500,2974.2500,0
2017-05-19,17833.2500,2194.2500,1935.0000,3761.2500,450.7500,681.5000,1961.5000,2975.2500,0
2017-05-20,26174.2500,2557.5000,1995.5000,4380.0000,404.0000,631.0000,7671.0000,4262.2500,0
2017-05-21,22947.7500,2369.5000,1943.5000,5046.0000,417.7500,614.7500,4116.0000,4193.0000,0
2017-05-22,24024.0000,3011.7500,1673.2500,5483.7500,668.7500,494.2500,4293.0000,3945.7500,0
2017-05-23,24122.2500,3302.2500,1712.0000,5307.2500,443.2500,535.0000,4318.7500,3932.7500,0
2017-05-24,23031.2500,2908.5000,2220.5000,4113.2500,389.0000,646.0000,4315.0000,3949.7500,0
2017-05-25,22132.2500,2516.7500,1722.7500,4039.0000,345.2500,713.2500,4324.5000,4006.5000,0
2017-05-26,23591.5000,3265.5000,2239.5000,4288.5000,615.5000,819.7500,4057.5000,3696.7500,0
2017-05-27,24598.0000,3058.5000,2518.0000,3964.7500,474.5000,1221.5000,4114.0000,4466.7500,0
2017-05-28,24638.7500,2944.0000,2521.2500,3888.5000,622.0000,1093.2500,4111.7500,4707.5000,0
2017-05-29,23961.5000,2790.2500,2231.0000,3898.0000,544.7500,1124.0000,4103.2500,4507.7500,0
2017-05-30,21355.2500,2780.0000,2025.0000,3252.2500,387.7500,951.7500,3429.2500,3936.2500,0
2017-05-31,22265.5000,2900.0000,2326.2500,3391.2500,561.2500,902.2500,3403.7500,3813.2500,0
2017-06-01,22374.7500,2549.2500,2274.0000,3786.2500,931.2500,1022.2500,2394.7500,4567.5000,0
2017-06-02,24052.7500,2463.2500,2098.7500,5098.2500,1070.0000,1094.0000,2780.0000,4416.0000,0
2017-06-03,27643.5000,3464.2500,3128.2500,5610.0000,1231.0000,1150.2500,3398.7500,4155.7500,0
2017-06-04,27780.7500,3451.5000,3067.2500,5378.2500,1400.2500,1135.5000,2905.5000,4874.5000,0
2017-06-05,26901.7500,2763.7500,2610.5000,5550.7500,1247.5000,1073.7500,3287.0000,4858.5000,0
2017-06-06,31628.5000,3429.0000,2570.0000,8578.5000,1149.7500,1066.5000,3675.2500,5304.5000,0
2017-06-07,31628.5000,3429.0000,2570.0000,8578.5000,1149.7500,1066.5000,3675.2500,5304.5000,1
2017-06-08,33508.5000,3457.2500,3553.5000,8604.2500,1512.0000,1342.2500,3093.2500,5938.2500,0
2017-06-09,35771.5000,3414.0000,3345.5000,9135.7500,3144.5000,1690.0000,2827.0000,5973.2500,0
2017-06-10,41389.2500,3895.2500,2883.2500,9358.2500,6856.5000,1870.0000,3501.2500,6190.5000,0
2017-06-11,43723.2500,3875.2500,4237.7500,8385.0000,7365.7500,2047.2500,3467.7500,7510.5000,0
2017-06-12,43676.0000,3824.7500,4734.2500,7263.5000,7649.5000,2109.7500,3423.5000,7754.7500,0
2017-06-13,43877.2500,3405.0000,3707.7500,8497.7500,7538.2500,2319.0000,3569.0000,7846.5000,0
2017-06-14,52369.7500,5151.5000,3718.5000,13545.0000,6925.0000,2287.2500,4888.7500,7782.5000,0
2017-06-15,57563.0000,4789.5000,5440.2500,10954.5000,6296.0000,2320.5000,5439.0000,14267.7500,0
2017-06-16,52237.5000,4960.0000,5552.7500,10805.0000,5597.2500,2885.7500,5466.7500,8678.0000,0
2017-06-17,50276.0000,5035.0000,5459.5000,10206.0000,4126.0000,3048.7500,5263.7500,8766.0000,0
2017-06-18,52398.0000,5578.0000,5344.5000,11305.2500,4643.5000,3037.0000,5022.5000,8665.5000,0
2017-06-19,55138.0000,5690.5000,6121.2500,12033.0000,5062.7500,3158.7500,5021.7500,8675.5000,0
2017-06-20,54524.2500,5653.7500,5770.0000,11650.7500,5077.5000,3333.7500,5159.5000,8589.7500,0
2017-06-21,58573.2500,5808.0000,5501.0000,14766.5000,5537.2500,3698.2500,5720.7500,7860.0000,0
2017-06-22,60780.0000,6123.2500,4868.2500,15620.2500,7147.0000,4062.0000,5637.7500,7240.5000,0
2017-06-23,66069.0000,6148.5000,5544.2500,15807.7500,9370.0000,4362.7500,5465.7500,8310.0000,0
2017-06-24,69146.2500,5261.2500,6408.0000,15559.5000,10520.0000,4486.5000,5089.7500,11178.0000,0
2017-06-25,78671.2500,5939.7500,6672.5000,19815.7500,10726.2500,4520.5000,6245.2500,13412.5000,0
2017-06-26,87067.2500,6976.7500,9814.7500,21582.7500,10741.0000,5010.5000,6074.7500,15135.7500,0
2017-06-27,88415.2500,7131.5000,11672.2500,19792.5000,10641.7500,5285.5000,5473.2500,16764.5000,0
2017-06-28,83188.5000,6320.7500,9757.5000,17284.7500,9783.2500,5213.5000,6210.5000,17215.2500,0
2017-06-29,84708.2500,7255.5000,9184.2500,18942.2500,9171.5000,5492.7500,6332.7500,17156.0000,0
2017-06-30,80834.0000,7484.0000,9233.7500,17598.2500,4175.0000,5066.5000,5898.0000,20853.7500,0
2017-07-01,76306.7500,7487.7500,8451.7500,16358.2500,2840.5000,4700.7500,5574.5000,20225.7500,0
2017-07-02,72239.2500,7478.5000,7967.5000,12614.0000,3277.7500,4518.5000,7069.0000,18893.2500,0
2017-07-03,69838.7500,7177.5000,5875.5000,12657.7500,3357.5000,4614.7500,7293.2500,17542.5000,0
2017-07-04,68316.2500,4225.0000,6041.5000,13576.5000,3763.0000,4722.5000,7291.5000,17422.7500,0
2017-07-05,54602.0000,4394.0000,2645.2500,13210.7500,4579.7500,5370.7500,6768.2500,6311.2500,0
2017-07-06,59052.5000,4697.5000,2714.0000,16466.7500,5215.7500,6600.2500,6749.5000,5169.5000,0
2017-07-07,69579.2500,6330.7500,4221.2500,20104.2500,5855.0000,7901.5000,7018.7500,6276.7500,0
2017-07-08,77495.5000,6735.0000,5604.7500,20463.0000,9106.2500,9197.5000,7171.2500,6887.7500,0
2017-07-09,94089.7500,6753.5000,6315.0000,26041.0000,14842.7500,9806.2500,6595.0000,10825.0000,0
2017-07-10,101975.2500,6654.5000,6430.7500,30450.2500,14891.2500,10189.0000,7408.7500,12843.7500,0
