date,all,SE,NW,CE,CW,SW,NO,NE,data_gap
2021-05-01,0.7822,0.7795,0.7936,0.7946,0.7970,0.8037,0.7527,0.7366,0
2021-05-02,0.7779,0.7711,0.7861,0.7943,0.7919,0.7933,0.7315,0.7530,0
2021-05-03,0.7811,0.7823,0.7775,0.7936,0.7917,0.7938,0.7693,0.7517,0
2021-05-04,0.7774,0.7795,0.7869,0.7827,0.7944,0.7925,0.7676,0.7338,0
2021-05-05,0.7750,0.7726,0.7849,0.7872,0.8002,0.7836,0.7437,0.7362,0
2021-05-06,0.7657,0.7671,0.7702,0.7816,0.7951,0.7703,0.7094,0.7405,0
2021-05-07,0.7679,0.7801,0.7646,0.7830,0.7908,0.7797,0.7378,0.7242,0
2021-05-08,0.7657,0.7770,0.7770,0.7685,0.7630,0.7818,0.7586,0.7350,0
2021-05-09,0.7594,0.7425,0.7664,0.7684,0.7769,0.7853,0.7213,0.7327,0
2021-05-10,0.7725,0.7617,0.7674,0.7817,0.7911,0.7843,0.7553,0.7545,0
2021-05-11,0.7741,0.7750,0.7762,0.7784,0.7879,0.7915,0.7604,0.7440,0
2021-05-12,0.7675,0.7725,0.7662,0.7780,0.7889,0.7917,0.7494,0.7126,0
2021-05-13,0.7703,0.7478,0.7849,0.7818,0.7953,0.7907,0.7326,0.7338,0
2021-05-14,0.7761,0.7695,0.7853,0.7806,0.7978,0.7909,0.7537,0.7445,0
2021-05-15,0.7693,0.7712,0.7716,0.7733,0.7905,0.7967,0.7646,0.7122,0
2021-05-16,0.7703,0.7560,0.7653,0.7741,0.7910,0.7951,0.7542,0.7463,0
2021-05-17,0.7603,0.7377,0.7798,0.7696,0.7798,0.7878,0.7237,0.7198,0
2021-05-18,0.7696,0.7571,0.7830,0.7730,0.7816,0.7925,0.7466,0.7439,0
2021-05-19,0.7682,0.7688,0.7803,0.7689,0.7805,0.7770,0.7576,0.7461,0
2021-05-20,0.7684,0.7646,0.7731,0.7684,0.7928,0.7819,0.7414,0.7510,0
2021-05-21,0.7593,0.7366,0.7744,0.7624,0.7797,0.7627,0.7397,0.7513,0
2021-05-22,0.7566,0.7469,0.7727,0.7570,0.7533,0.7595,0.7564,0.7549,0
2021-05-23,0.7618,0.7506,0.7608,0.7676,0.7647,0.7760,0.7610,0.7493,0
2021-05-24,0.7530,0.7356,0.7531,0.7495,0.7656,0.7641,0.7590,0.7487,0
2021-05-25,0.7531,0.7360,0.7536,0.7477,0.7596,0.7679,0.7590,0.7544,0
2021-05-26,0.7575,0.7397,0.7575,0.7641,0.7494,0.7677,0.7618,0.7624,0
2021-05-27,0.7640,0.7618,0.7605,0.7652,0.7627,0.7740,0.7673,0.7666,0
2021-05-28,0.7582,0.7571,0.7658,0.7532,0.7778,0.7754,0.7641,0.7249,0
2021-05-29,0.7590,0.7554,0.7686,0.7572,0.7668,0.7667,0.7643,0.7452,0
2021-05-30,0.7584,0.7557,0.7647,0.7558,0.7593,0.7657,0.7639,0.7569,0
2021-05-31,0.7627,0.7632,0.7724,0.7570,0.7636,0.7666,0.7796,0.7570,0
2021-06-01,0.7691,0.7705,0.7935,0.7865,0.7742,0.7709,0.7081,0.7589,0
2021-06-02,0.7765,0.7754,0.7890,0.7912,0.7849,0.7887,0.7209,0.7643,0
2021-06-03,0.7720,0.7838,0.7665,0.7840,0.7850,0.7847,0.7536,0.7403,0
2021-06-04,0.7655,0.7839,0.7609,0.7738,0.7935,0.7819,0.7521,0.7101,0
2021-06-05,0.7605,0.7852,0.7693,0.7746,0.7880,0.7368,0.7522,0.7215,0
2021-06-06,0.7550,0.7801,0.7654,0.7590,0.7599,0.7593,0.7480,0.7235,0
2021-06-07,0.7582,0.7785,0.7643,0.7650,0.7636,0.7658,0.7475,0.7293,0
2021-06-08,0.7519,0.7643,0.7581,0.7649,0.7674,0.7629,0.7334,0.7088,0
2021-06-09,0.7541,0.7649,0.7664,0.7656,0.7686,0.7614,0.7306,0.7174,0
2021-06-10,0.7550,0.7638,0.7577,0.7684,0.7724,0.7566,0.7364,0.7271,0
2021-06-11,0.7547,0.7692,0.7580,0.7715,0.7775,0.7585,0.7169,0.7213,0
2021-06-12,0.7540,0.7700,0.7603,0.7763,0.7820,0.7515,0.7150,0.7083,0
2021-06-13,0.7533,0.7562,0.7645,0.7796,0.7862,0.7536,0.6891,0.7151,0
2021-06-14,0.7673,0.7551,0.7654,0.7815,0.7898,0.7595,0.7575,0.7604,0
2021-06-15,0.7717,0.7730,0.7651,0.7843,0.7903,0.7782,0.7488,0.7599,0
2021-06-16,0.7611,0.7600,0.7467,0.7869,0.7836,0.7662,0.7062,0.7558,0
2021-06-17,0.7586,0.7542,0.7524,0.7832,0.7661,0.7592,0.7228,0.7579,0
2021-06-18,0.7694,0.7592,0.7742,0.7821,0.7785,0.7676,0.7586,0.7667,0
2021-06-19,0.7656,0.7594,0.7672,0.7755,0.7716,0.7650,0.7584,0.7681,0
2021-06-20,0.7614,0.7553,0.7667,0.7740,0.7677,0.7653,0.7296,0.7668,0
2021-06-21,0.7592,0.7550,0.7856,0.7735,0.7719,0.7658,0.6983,0.7481,0
2021-06-22,0.7584,0.7512,0.7819,0.7687,0.7701,0.7591,0.7323,0.7441,0
2021-06-23,0.7569,0.7612,0.7764,0.7616,0.7722,0.7542,0.7364,0.7441,0
2021-06-24,0.7553,0.7613,0.7717,0.7638,0.7634,0.7549,0.7361,0.7420,0
2021-06-25,0.7499,0.7635,0.7726,0.7642,0.7636,0.7570,0.6765,0.7368,0
2021-06-26,0.7551,0.7590,0.7765,0.7656,0.7702,0.7766,0.6867,0.7355,0
2021-06-27,0.7561,0.7572,0.7716,0.7664,0.7658,0.7794,0.7058,0.7364,0
2021-06-28,0.7575,0.7603,0.7717,0.7718,0.7675,0.7831,0.7019,0.7312,0
2021-06-29,0.7579,0.7601,0.7723,0.7704,0.7680,0.7846,0.7009,0.7351,0
2021-06-30,0.7641,0.7608,0.7728,0.7704,0.7692,0.7849,0.7464,0.7482,0
2021-07-01,0.7685,0.7597,0.7958,0.7679,0.7729,0.7852,0.7489,0.7580,0
2021-07-02,0.7617,0.7522,0.7874,0.7631,0.7729,0.7851,0.7404,0.7347,0
2021-07-03,0.7563,0.7424,0.7860,0.7593,0.7755,0.7857,0.7100,0.7274,0
2021-07-04,0.7556,0.7418,0.7850,0.7500,0.7766,0.7939,0.7178,0.7237,0
2021-07-05,0.7587,0.7414,0.7855,0.7545,0.7820,0.7976,0.7227,0.7243,0
2021-07-06,0.7618,0.7482,0.7886,0.7588,0.7815,0.7989,0.7282,0.7269,0
2021-07-07,0.7659,0.7488,0.7887,0.7620,0.7801,0.7947,0.7470,0.7458,0
2021-07-08,0.7726,0.7779,0.7857,0.7637,0.7779,0.7938,0.7597,0.7684,0
2021-07-09,0.7717,0.7758,0.7911,0.7703,0.7794,0.7860,0.7598,0.7531,0
2021-07-10,0.7737,0.7760,0.7897,0.7873,0.7765,0.7816,0.7599,0.7482,0
2021-07-11,0.7664,0.7754,0.7764,0.7777,0.7697,0.7775,0.7599,0.7366,0
2021-07-12,0.7573,0.7733,0.7581,0.7699,0.7604,0.7732,0.7601,0.7169,0
2021-07-13,0.7537,0.7726,0.7576,0.7638,0.7578,0.7736,0.7492,0.7112,0
2021-07-14,0.7475,0.7629,0.7582,0.7555,0.7528,0.7732,0.7293,0.7061,0
2021-07-15,0.7416,0.7471,0.7616,0.7546,0.7550,0.7746,0.7086,0.6819,0
2021-07-16,0.7432,0.7542,0.7762,0.7527,0.7489,0.7757,0.7085,0.6818,0
2021-07-17,0.7390,0.7481,0.7552,0.7493,0.7542,0.7788,0.7041,0.6769,0
2021-07-18,0.7348,0.7361,0.7408,0.7535,0.7618,0.7752,0.6946,0.6638,0
2021-07-19,0.7328,0.7239,0.7427,0.7497,0.7658,0.7696,0.6953,0.6655,0
2021-07-20,0.7364,0.7216,0.7437,0.7486,0.7690,0.7698,0.7122,0.6804,0
2021-07-21,0.7401,0.7192,0.7654,0.7487,0.7639,0.7750,0.7132,0.6863,0
2021-07-22,0.7465,0.7248,0.7731,0.7582,0.7674,0.7812,0.7115,0.6953,0
2021-07-23,0.7527,0.7278,0.7735,0.7664,0.7734,0.7815,0.7231,0.7106,0
2021-07-24,0.7526,0.7289,0.7704,0.7670,0.7730,0.7760,0.7296,0.7141,0
2021-07-25,0.7530,0.7315,0.7772,0.7601,0.7702,0.7687,0.7279,0.7335,0
2021-07-26,0.7489,0.7389,0.7805,0.7579,0.7549,0.7647,0.7260,0.7195,0
2021-07-27,0.7357,0.7564,0.7743,0.7409,0.7386,0.7650,0.7174,0.6640,0
2021-07-28,0.7031,0.7433,0.7243,0.7104,0.7076,0.7282,0.6985,0.6233,0
2021-07-29,0.6970,0.7299,0.7313,0.7004,0.6986,0.7287,0.6982,0.6071,0
2021-07-30,0.6983,0.7039,0.7269,0.7167,0.6955,0.7217,0.6570,0.6554,0
2021-07-31,0.7069,0.7269,0.7255,0.7213,0.7021,0.7254,0.6838,0.6653,0
2021-08-01,0.7104,0.7313,0.7172,0.7240,0.7217,0.7326,0.6940,0.6555,0
2021-08-02,0.7148,0.7175,0.7344,0.7365,0.7173,0.7340,0.6999,0.6588,0
2021-08-03,0.7148,0.7205,0.7231,0.7373,0.7174,0.7228,0.7032,0.6773,0
2021-08-04,0.7215,0.7330,0.7416,0.7337,0.7174,0.7369,0.7036,0.6893,0
2021-08-05,0.7188,0.7181,0.7306,0.7359,0.7220,0.7325,0.7095,0.6839,0
2021-08-06,0.7132,0.7255,0.7371,0.7377,0.7227,0.7319,0.6708,0.6520,0
2021-08-07,0.7165,0.7279,0.7413,0.7436,0.7227,0.7329,0.6769,0.6550,0
2021-08-08,0.7272,0.7301,0.7410,0.7555,0.7392,0.7394,0.7166,0.6601,0
2021-08-09,0.7361,0.7308,0.7468,0.7509,0.7393,0.7434,0.7273,0.7186,0
2021-08-10,0.7446,0.7326,0.7607,0.7590,0.7533,0.7504,0.7268,0.7307,0
2021-08-11,0.7416,0.7200,0.7612,0.7588,0.7570,0.7508,0.7203,0.7182,0
2021-08-12,0.7446,0.7386,0.7715,0.7597,0.7592,0.7542,0.7251,0.7045,0
2021-08-13,0.7457,0.7399,0.7701,0.7627,0.7714,0.7648,0.7060,0.6945,0
2021-08-14,0.7395,0.7175,0.7699,0.7611,0.7658,0.7648,0.6860,0.6880,0
2021-08-15,0.7350,0.7028,0.7674,0.7533,0.7644,0.7651,0.6800,0.6871,0
2021-08-16,0.7366,0.7050,0.7668,0.7542,0.7673,0.7667,0.6814,0.6903,0
2021-08-17,0.7346,0.7076,0.7503,0.7512,0.7683,0.7692,0.6868,0.6876,0
2021-08-18,0.7312,0.7133,0.7494,0.7550,0.7614,0.7677,0.6856,0.6605,0
2021-08-19,0.7275,0.7211,0.7421,0.7544,0.7545,0.7496,0.6968,0.6560,0
2021-08-20,0.7267,0.7163,0.7385,0.7520,0.7572,0.7549,0.6973,0.6527,0
2021-08-21,0.7284,0.7188,0.7393,0.7554,0.7592,0.7548,0.6983,0.6541,0
2021-08-22,0.7329,0.7168,0.7422,0.7560,0.7673,0.7604,0.7090,0.6628,0
2021-08-23,0.7447,0.7319,0.7476,0.7550,0.7823,0.7709,0.7378,0.6888,0
2021-08-24,0.7443,0.7328,0.7466,0.7586,0.7804,0.7634,0.7381,0.6910,0
2021-08-25,0.7432,0.7349,0.7466,0.7558,0.7772,0.7637,0.7356,0.6906,0
2021-08-26,0.7433,0.7397,0.7469,0.7550,0.7704,0.7657,0.7334,0.6953,0
2021-08-27,0.7434,0.7391,0.7494,0.7536,0.7653,0.7681,0.7369,0.6966,0
2021-08-28,0.7465,0.7426,0.7587,0.7553,0.7674,0.7695,0.7335,0.7024,0
2021-08-29,0.7538,0.7695,0.7611,0.7565,0.7703,0.7854,0.7422,0.7044,0
2021-08-30,0.7657,0.7692,0.7747,0.7657,0.7789,0.7961,0.7486,0.7384,0
