date,all,SE,NW,CE,CW,SW,NO,NE,data_gap
2022-05-01,0.7994,0.7921,0.8086,0.8035,0.8044,0.8110,0.7818,0.7868,0
2022-05-02,0.7972,0.7900,0.8068,0.8013,0.8058,0.8094,0.7805,0.7784,0
2022-05-03,0.7932,0.7834,0.8000,0.8006,0.8051,0.8001,0.7729,0.7788,0
2022-05-04,0.7959,0.7834,0.8045,0.8017,0.8059,0.8041,0.7748,0.7865,0
2022-05-05,0.7992,0.7889,0.8037,0.7994,0.8069,0.8038,0.7895,0.8011,0
2022-05-06,0.7989,0.7913,0.8069,0.8009,0.8056,0.8046,0.7848,0.7945,0
2022-05-07,0.7940,0.7917,0.8057,0.7921,0.7996,0.7926,0.7758,0.8001,0
2022-05-08,0.7945,0.7893,0.8017,0.7910,0.8018,0.7984,0.7850,0.7967,0
2022-05-09,0.7934,0.7889,0.8024,0.7939,0.8029,0.7943,0.7818,0.7886,0
2022-05-10,0.7932,0.7899,0.8066,0.7931,0.8041,0.7974,0.7688,0.7879,0
2022-05-11,0.7939,0.7905,0.8061,0.7962,0.8040,0.7932,0.7668,0.7942,0
2022-05-12,0.7952,0.7961,0.8039,0.7966,0.8001,0.7953,0.7795,0.7944,0
2022-05-13,0.7929,0.8010,0.7961,0.7929,0.7944,0.7935,0.7849,0.7922,0
2022-05-14,0.7851,0.7945,0.7935,0.7899,0.7841,0.7943,0.7621,0.7710,0
2022-05-15,0.7820,0.7857,0.7874,0.7879,0.7781,0.7871,0.7621,0.7795,0
2022-05-16,0.7846,0.7959,0.7907,0.7818,0.7877,0.7880,0.7643,0.7864,0
2022-05-17,0.7860,0.7968,0.7958,0.7823,0.7933,0.7941,0.7624,0.7782,0
2022-05-18,0.7831,0.7967,0.7948,0.7883,0.7958,0.7932,0.7651,0.7426,0
2022-05-19,0.7867,0.7972,0.7945,0.7905,0.7934,0.7925,0.7557,0.7768,0
2022-05-20,0.7880,0.8013,0.7925,0.7847,0.8011,0.7949,0.7674,0.7763,0
2022-05-21,0.7847,0.7869,0.7791,0.7813,0.8071,0.8017,0.7606,0.7729,0
2022-05-22,0.7864,0.7864,0.7802,0.7883,0.8069,0.8021,0.7593,0.7731,0
2022-05-23,0.7888,0.7899,0.7853,0.7899,0.8076,0.8032,0.7643,0.7748,0
2022-05-24,0.7918,0.7918,0.7894,0.7914,0.8067,0.8047,0.7760,0.7809,0
2022-05-25,0.7896,0.7914,0.7971,0.7893,0.8031,0.8058,0.7630,0.7713,0
2022-05-26,0.7850,0.7928,0.7950,0.7866,0.7872,0.7955,0.7560,0.7770,0
2022-05-27,0.7867,0.7882,0.7965,0.7853,0.7972,0.7968,0.7597,0.7796,0
2022-05-28,0.7852,0.7881,0.7966,0.7811,0.7918,0.7980,0.7615,0.7795,0
2022-05-29,0.7835,0.7869,0.7971,0.7795,0.7888,0.7992,0.7617,0.7724,0
2022-05-30,0.7860,0.7873,0.7997,0.7797,0.7860,0.8003,0.7781,0.7790,0
2022-05-31,0.7888,0.7888,0.8004,0.7820,0.7900,0.8082,0.7795,0.7797,0
2022-06-01,0.7873,0.7905,0.8054,0.7870,0.7912,0.8065,0.7672,0.7622,0
2022-06-02,0.7866,0.7886,0.7956,0.7874,0.7927,0.8052,0.7679,0.7672,0
2022-06-03,0.7893,0.7899,0.7994,0.7906,0.7980,0.8049,0.7713,0.7690,0
2022-06-04,0.7880,0.7878,0.7918,0.7907,0.8014,0.8094,0.7729,0.7587,0
2022-06-05,0.7862,0.7862,0.7922,0.7915,0.8057,0.8071,0.7642,0.7484,0
2022-06-06,0.7868,0.7873,0.7919,0.7927,0.8091,0.8068,0.7600,0.7495,0
2022-06-07,0.7828,0.7831,0.7892,0.7943,0.8079,0.8047,0.7322,0.7458,0
2022-06-08,0.7849,0.7779,0.7876,0.7939,0.8073,0.8046,0.7539,0.7545,0
2022-06-09,0.7816,0.7757,0.7786,0.7916,0.8049,0.8047,0.7574,0.7447,0
2022-06-10,0.7795,0.7698,0.7780,0.7894,0.8055,0.8050,0.7453,0.7455,0
2022-06-11,0.7793,0.7645,0.7831,0.7898,0.8060,0.8072,0.7446,0.7401,0
2022-06-12,0.7799,0.7697,0.7840,0.7882,0.8041,0.8056,0.7506,0.7419,0
2022-06-13,0.7849,0.7768,0.7856,0.7886,0.8037,0.8059,0.7639,0.7628,0
2022-06-14,0.7868,0.7770,0.7874,0.7905,0.8056,0.8080,0.7661,0.7661,0
2022-06-15,0.7906,0.7777,0.8012,0.7893,0.8054,0.8053,0.7660,0.7860,0
2022-06-16,0.7865,0.7789,0.7986,0.7845,0.7990,0.7961,0.7685,0.7820,0
2022-06-17,0.7871,0.7904,0.7975,0.7862,0.7949,0.7903,0.7751,0.7824,0
2022-06-18,0.7846,0.7912,0.7975,0.7851,0.7935,0.7888,0.7561,0.7815,0
2022-06-19,0.7841,0.7805,0.8063,0.7865,0.7979,0.7981,0.7274,0.7799,0
2022-06-20,0.7839,0.7793,0.7989,0.7876,0.7978,0.7960,0.7396,0.7800,0
2022-06-21,0.7837,0.7787,0.7940,0.7868,0.7994,0.7953,0.7460,0.7799,0
2022-06-22,0.7829,0.7820,0.7935,0.7869,0.8021,0.7947,0.7376,0.7757,0
2022-06-23,0.7848,0.7825,0.7946,0.7880,0.8038,0.7948,0.7432,0.7807,0
2022-06-24,0.7848,0.7864,0.7957,0.7886,0.7996,0.7938,0.7498,0.7778,0
2022-06-25,0.7795,0.7829,0.7926,0.7899,0.7939,0.7938,0.7375,0.7561,0
2022-06-26,0.7774,0.7811,0.7894,0.7931,0.7879,0.7822,0.7415,0.7571,0
2022-06-27,0.7763,0.7815,0.7885,0.7893,0.7813,0.7777,0.7541,0.7594,0
2022-06-28,0.7749,0.7792,0.7861,0.7889,0.7753,0.7763,0.7588,0.7589,0
2022-06-29,0.7730,0.7774,0.7869,0.7857,0.7707,0.7743,0.7591,0.7588,0
2022-06-30,0.7711,0.7734,0.7886,0.7783,0.7689,0.7738,0.7637,0.7598,0
2022-07-01,0.7698,0.7742,0.7817,0.7772,0.7702,0.7726,0.7620,0.7592,0
2022-07-02,0.7699,0.7725,0.7807,0.7767,0.7703,0.7738,0.7568,0.7661,0
2022-07-03,0.7671,0.7701,0.7760,0.7765,0.7716,0.7741,0.7514,0.7542,0
2022-07-04,0.7659,0.7677,0.7714,0.7790,0.7853,0.7752,0.7426,0.7370,0
2022-07-05,0.7640,0.7698,0.7709,0.7770,0.7846,0.7721,0.7422,0.7291,0
2022-07-06,0.7638,0.7643,0.7680,0.7740,0.7853,0.7710,0.7452,0.7399,0
2022-07-07,0.7637,0.7617,0.7684,0.7749,0.7793,0.7687,0.7514,0.7441,0
2022-07-08,0.7638,0.7603,0.7681,0.7765,0.7769,0.7674,0.7479,0.7502,0
2022-07-09,0.7644,0.7614,0.7731,0.7761,0.7769,0.7632,0.7488,0.7539,0
