date,all,SE,NW,CE,CW,SW,NO,NE,data_gap
2020-05-01,37102.2500,3751.0000,852.7500,11365.2500,3538.5000,460.5000,8998.7500,1920.0000,0
2020-05-02,33644.2500,4878.0000,903.0000,12432.5000,2994.7500,474.5000,3994.5000,1920.2500,0
2020-05-03,33706.5000,4978.0000,903.2500,12929.7500,2594.7500,514.0000,3935.5000,1921.2500,0
2020-05-04,28803.0000,4920.5000,899.5000,11245.7500,2286.2500,509.7500,1466.0000,1939.5000,0
2020-05-05,25546.5000,3583.0000,514.0000,10850.5000,2200.2500,497.7500,1317.0000,1449.2500,0
2020-05-06,25913.0000,4439.0000,487.7500,10822.7500,1821.7500,501.7500,1471.2500,1108.5000,0
2020-05-07,26348.5000,4604.0000,590.0000,11014.2500,1726.2500,503.2500,1280.0000,1119.0000,0
2020-05-08,24839.0000,4100.5000,537.7500,10387.2500,1510.0000,539.2500,756.0000,1660.7500,0
2020-05-09,26743.5000,3996.0000,555.5000,11157.0000,1993.7500,458.5000,1129.5000,1900.0000,0
2020-05-10,29162.5000,4655.2500,771.7500,11246.2500,1897.0000,530.2500,1268.2500,3092.2500,0
2020-05-11,26438.2500,4635.0000,1294.2500,8709.2500,1101.0000,505.7500,1224.0000,3350.2500,0
2020-05-12,31423.0000,4051.2500,2534.5000,10943.7500,1536.5000,807.2500,1161.2500,4283.5000,0
2020-05-13,34172.5000,5002.0000,2645.7500,11678.7500,2151.2500,861.2500,1504.2500,4262.7500,0
2020-05-14,33230.2500,5785.2500,2540.0000,11102.2500,1563.7500,880.2500,1472.7500,3520.2500,0
2020-05-15,35899.0000,5597.0000,3020.7500,11216.5000,1910.7500,934.7500,1568.0000,5068.5000,0
2020-05-16,35753.0000,5457.7500,2290.0000,11232.2500,1853.2500,972.5000,1512.2500,5473.2500,0
2020-05-17,36399.0000,5215.7500,2454.2500,11555.2500,1686.0000,1301.5000,1581.2500,5511.2500,0
2020-05-18,37267.5000,5915.5000,3016.0000,12281.7500,1699.5000,1400.7500,1534.7500,4100.2500,0
2020-05-19,37297.5000,5441.2500,3016.2500,11823.7500,1513.5000,1470.2500,1504.2500,5259.2500,0
2020-05-20,36309.2500,4902.5000,2585.0000,11534.7500,982.5000,1671.5000,1980.2500,5510.2500,0
2020-05-21,37223.5000,4926.7500,2512.5000,12665.2500,868.0000,1766.2500,2229.5000,5116.5000,0
2020-05-22,37937.0000,4452.0000,4256.0000,12493.0000,882.0000,1779.5000,2218.0000,4801.0000,0
2020-05-23,40517.7500,5150.7500,4031.7500,12306.0000,1045.7500,1702.5000,2319.5000,6768.7500,0
2020-05-24,41164.0000,5300.5000,3721.0000,12398.5000,942.0000,1847.7500,3316.7500,6422.0000,0
2020-05-25,40937.5000,5595.7500,3728.5000,12090.5000,1006.2500,1955.0000,3097.2500,6234.0000,0
2020-05-26,39431.7500,5779.0000,3045.5000,11666.5000,969.5000,1961.7500,2882.0000,5956.0000,0
2020-05-27,37872.2500,5857.0000,3039.2500,10391.7500,1200.2500,1916.5000,2796.5000,5478.5000,0
2020-05-28,37487.2500,5900.0000,2986.7500,10581.5000,1409.2500,1717.2500,2771.5000,4913.0000,0
2020-05-29,37695.5000,5879.7500,2392.2500,11028.7500,1112.7500,1673.0000,2987.7500,4487.5000,0
2020-05-30,36228.2500,5809.0000,2653.5000,10794.2500,911.5000,1452.5000,2979.2500,3561.0000,0
2020-05-31,30904.0000,3720.7500,2743.5000,6945.5000,960.2500,1497.0000,2456.7500,4981.0000,0
2020-06-01,33076.0000,3655.5000,2783.2500,8261.0000,1295.5000,1488.2500,2695.7500,5146.5000,0
2020-06-02,38338.5000,5471.2500,2801.7500,9924.2500,1493.5000,1489.7500,3735.7500,5153.2500,0
2020-06-03,39615.5000,5749.2500,2813.5000,10486.0000,1599.7500,1485.0000,3929.7500,5152.0000,0
2020-06-04,39581.0000,5542.5000,2700.2500,10032.0000,1734.5000,992.7500,4164.7500,6034.0000,0
2020-06-05,40293.2500,5678.0000,2783.5000,9944.7500,1998.0000,1417.0000,4198.5000,5943.7500,0
2020-06-06,37664.0000,5917.0000,2534.0000,6573.7500,2145.5000,1532.2500,4205.7500,6054.5000,0
2020-06-07,38136.2500,6019.5000,2527.7500,6517.7500,2266.0000,1606.0000,4192.0000,6080.0000,0
2020-06-08,40161.0000,6448.5000,2565.2500,6638.0000,2500.5000,1920.2500,4167.2500,6593.7500,0
2020-06-09,44267.2500,7058.7500,2692.0000,9466.7500,2211.5000,1769.5000,4200.0000,7307.7500,0
2020-06-10,47652.7500,7546.0000,2705.7500,11637.2500,1912.2500,2261.0000,4210.7500,7629.0000,0
2020-06-11,50844.2500,7848.2500,2769.2500,12567.2500,2934.7500,2255.0000,3907.5000,7764.7500,0
2020-06-12,48958.5000,7217.7500,1986.0000,12616.0000,2945.5000,2170.2500,4403.7500,6849.7500,0
2020-06-13,50892.0000,7649.0000,2598.0000,12383.5000,3069.2500,2349.0000,4556.0000,7283.0000,0
2020-06-14,53193.5000,8409.5000,2680.7500,12045.7500,4299.2500,3297.5000,4181.0000,7132.0000,0
2020-06-15,53349.0000,8412.2500,2595.2500,11822.0000,5604.2500,3589.2500,3544.0000,6635.0000,0
2020-06-16,55595.5000,8446.0000,2735.2500,11980.5000,6376.2500,3320.5000,4674.7500,6609.5000,0
2020-06-17,51206.2500,5784.2500,2775.0000,11621.2500,6409.7500,3330.7500,4682.5000,5171.7500,0
2020-06-18,55789.5000,6459.2500,4355.5000,12795.2500,8101.7500,3659.2500,4033.2500,4576.0000,0
2020-06-19,61558.2500,6934.0000,5568.7500,14501.5000,8188.7500,4312.2500,4061.7500,5920.2500,0
2020-06-20,66142.5000,7189.7500,4705.5000,17090.0000,9341.7500,5302.7500,4061.5000,6306.2500,0
