date,all,SE,NW,CE,CW,SW,NO,NE,data_gap
2017-05-01,0.7904,0.7914,0.7973,0.7983,0.7989,0.7968,0.7435,0.7898,0
2017-05-02,0.7911,0.7915,0.7980,0.8004,0.7976,0.7957,0.7438,0.7929,0
2017-05-03,0.7900,0.7913,0.7981,0.8003,0.7993,0.7971,0.7437,0.7812,0
2017-05-04,0.7865,0.7872,0.7958,0.7905,0.7947,0.8051,0.7438,0.7734,0
2017-05-05,0.7879,0.7839,0.7945,0.7951,0.7997,0.8064,0.7442,0.7730,0
2017-05-06,0.7747,0.7676,0.7857,0.7915,0.7956,0.7974,0.7341,0.7230,0
2017-05-07,0.7695,0.7471,0.7772,0.7744,0.8020,0.7975,0.7127,0.7478,0
2017-05-08,0.7717,0.7414,0.7775,0.7796,0.8084,0.8003,0.7224,0.7419,0
2017-05-09,0.7794,0.7660,0.7894,0.7849,0.8145,0.8107,0.7299,0.7348,0
2017-05-10,0.7871,0.7821,0.8048,0.7963,0.8116,0.8090,0.7443,0.7394,0
2017-05-11,0.7851,0.7829,0.7987,0.7923,0.8148,0.8129,0.7429,0.7288,0
2017-05-12,0.7844,0.7572,0.8009,0.8016,0.8146,0.8138,0.7367,0.7289,0
2017-05-13,0.7850,0.7553,0.7964,0.7969,0.8119,0.8098,0.7455,0.7492,0
2017-05-14,0.7873,0.7636,0.7945,0.7945,0.8102,0.8006,0.7631,0.7673,0
2017-05-15,0.7846,0.7667,0.7971,0.7873,0.8074,0.7957,0.7623,0.7634,0
2017-05-16,0.7850,0.7753,0.7968,0.7936,0.8023,0.7955,0.7655,0.7525,0
2017-05-17,0.7827,0.7557,0.7953,0.7933,0.7986,0.7954,0.7608,0.7609,0
2017-05-18,0.7887,0.7923,0.7945,0.7936,0.8045,0.7962,0.7727,0.7621,0
2017-05-19,0.7876,0.7779,0.7941,0.7922,0.8060,0.7994,0.7736,0.7619,0
2017-05-20,0.7817,0.7577,0.7947,0.7880,0.8079,0.8020,0.7367,0.7618,0
2017-05-21,0.7815,0.7630,0.7946,0.7892,0.8077,0.8054,0.7350,0.7514,0
2017-05-22,0.7790,0.7637,0.7953,0.7865,0.8058,0.8107,0.7367,0.7302,0
2017-05-23,0.7744,0.7463,0.7936,0.7815,0.8073,0.8063,0.7362,0.7231,0
2017-05-24,0.7774,0.7464,0.7928,0.7894,0.8100,0.8047,0.7304,0.7359,0
2017-05-25,0.7826,0.7719,0.7839,0.7917,0.8112,0.8048,0.7402,0.7526,0
2017-05-26,0.7864,0.7761,0.7895,0.7906,0.8108,0.7995,0.7650,0.7640,0
2017-05-27,0.7815,0.7598,0.7837,0.7904,0.8056,0.7962,0.7564,0.7617,0
2017-05-28,0.7806,0.7643,0.7831,0.7887,0.8000,0.7897,0.7582,0.7675,0
2017-05-29,0.7842,0.7836,0.7846,0.7915,0.7977,0.7963,0.7629,0.7645,0
2017-05-30,0.7862,0.7870,0.7813,0.7947,0.7967,0.7996,0.7694,0.7668,0
2017-05-31,0.7822,0.7716,0.7975,0.7861,0.7790,0.7944,0.7728,0.7711,0
2017-06-01,0.7833,0.7771,0.7984,0.7811,0.7840,0.7970,0.7689,0.7769,0
2017-06-02,0.7808,0.7899,0.7880,0.7788,0.7804,0.7948,0.7690,0.7696,0
2017-06-03,0.7794,0.7862,0.7826,0.7786,0.7888,0.7967,0.7558,0.7661,0
2017-06-04,0.7672,0.7772,0.7631,0.7817,0.7930,0.7849,0.7294,0.7232,0
2017-06-05,0.7695,0.7690,0.7738,0.7759,0.7933,0.7852,0.7334,0.7428,0
2017-06-06,0.7745,0.7792,0.7785,0.7681,0.7967,0.7863,0.7594,0.7593,0
2017-06-07,0.7745,0.7792,0.7785,0.7681,0.7967,0.7863,0.7594,0.7593,1
2017-06-08,0.7700,0.7778,0.7829,0.7641,0.7819,0.7740,0.7591,0.7598,0
2017-06-09,0.7676,0.7740,0.7807,0.7639,0.7575,0.7767,0.7663,0.7660,0
2017-06-10,0.7673,0.7882,0.7643,0.7682,0.7680,0.7823,0.7589,0.7494,0
2017-06-11,0.7661,0.7708,0.7638,0.7866,0.7755,0.7880,0.7422,0.7183,0
2017-06-12,0.7663,0.7530,0.7656,0.7809,0.7736,0.7879,0.7543,0.7368,0
2017-06-13,0.7706,0.7721,0.7716,0.7830,0.7816,0.7849,0.7554,0.7389,0
2017-06-14,0.7723,0.7675,0.7701,0.7787,0.7927,0.7912,0.7608,0.7426,0
2017-06-15,0.7649,0.7661,0.7681,0.7717,0.7926,0.7858,0.7459,0.7185,0
2017-06-16,0.7641,0.7628,0.7676,0.7681,0.7884,0.7812,0.7351,0.7400,0
2017-06-17,0.7685,0.7694,0.7673,0.7778,0.7906,0.7768,0.7545,0.7404,0
2017-06-18,0.7702,0.7800,0.7729,0.7772,0.7878,0.7750,0.7556,0.7458,0
2017-06-19,0.7673,0.7677,0.7688,0.7769,0.7848,0.7733,0.7543,0.7454,0
2017-06-20,0.7651,0.7463,0.7821,0.7717,0.7798,0.7655,0.7544,0.7559,0
2017-06-21,0.7656,0.7481,0.7842,0.7638,0.7692,0.7736,0.7544,0.7724,0
2017-06-22,0.7633,0.7595,0.7801,0.7548,0.7695,0.7684,0.7655,0.7643,0
2017-06-23,0.7498,0.7557,0.7766,0.7508,0.7508,0.7567,0.7377,0.7296,0
2017-06-24,0.7515,0.7541,0.7703,0.7579,0.7516,0.7567,0.7215,0.7486,0
2017-06-25,0.7526,0.7614,0.7672,0.7523,0.7589,0.7588,0.7481,0.7359,0
2017-06-26,0.7547,0.7645,0.7557,0.7565,0.7614,0.7844,0.7513,0.7179,0
2017-06-27,0.7570,0.7588,0.7616,0.7675,0.7661,0.7867,0.7422,0.7131,0
2017-06-28,0.7585,0.7564,0.7643,0.7737,0.7729,0.7871,0.7148,0.7239,0
2017-06-29,0.7654,0.7592,0.7663,0.7756,0.7798,0.7889,0.7500,0.7347,0
2017-06-30,0.7662,0.7575,0.7664,0.7785,0.7995,0.7908,0.7468,0.7139,0
2017-07-01,0.7678,0.7561,0.7710,0.7846,0.8024,0.7959,0.7279,0.7163,0
2017-07-02,0.7678,0.7571,0.7732,0.7901,0.7979,0.7888,0.7176,0.7237,0
2017-07-03,0.7744,0.7647,0.7804,0.7909,0.7967,0.7949,0.7539,0.7288,0
2017-07-04,0.7788,0.7948,0.7827,0.7935,0.7961,0.7922,0.7568,0.7330,0
